时间：2019/9/16 14:32:06 位置： 类型：info  信息： 系统开启！
时间：2019/9/16 14:32:37 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:32:47 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:35:37 位置： 类型：info  信息：系统开启！
时间：2019/9/16 14:45:14 位置： 类型：info  信息：系统开启！
时间：2019/9/16 14:45:25 位置： 类型：info  信息：save config success！
时间：2019/9/16 14:45:44 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:45:55 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:46:05 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/16 14:46:05 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:46:15 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:49:27 位置： 类型：info  信息：System Start！
时间：2019/9/16 14:50:46 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:50:46 位置：SAIC1OP0010 类型：error  信息：Tighten back to the problem, abnormal information：给定关键字不在字典中。
时间：2019/9/16 14:53:54 位置： 类型：info  信息：System Start！
时间：2019/9/16 14:54:44 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/16 14:58:40 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:02:53 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:15:17 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:16:20 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:41:28 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:42:18 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/16 15:43:22 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:47:22 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:50:09 位置： 类型：info  信息：System Start！
时间：2019/9/16 15:51:13 位置： 类型：info  信息：System Start！
时间：2019/9/16 16:05:03 位置： 类型：info  信息：System Start！
时间：2019/9/16 16:05:33 位置： 类型：info  信息：System Start！
