时间：2019/9/17 9:14:01 位置： 类型：info  信息： System Start！
时间：2019/9/17 9:14:52 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/17 9:20:29 位置： 类型：info  信息：System Start！
时间：2019/9/17 9:20:37 位置： 类型：info  信息：保存配置成功！
时间：2019/9/17 9:20:49 位置： 类型：info  信息：系统开启！
时间：2019/9/17 9:22:00 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/17 9:23:39 位置： 类型：info  信息：系统开启！
时间：2019/9/17 9:24:30 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/17 9:35:43 位置： 类型：info  信息：系统开启！
时间：2019/9/17 9:36:33 位置： 类型：info  信息：SAIC1 PLC connection succeeded
时间：2019/9/17 10:17:50 位置： 类型：info  信息：系统开启！
时间：2019/9/17 13:09:33 位置： 类型：info  信息：系统开启！
时间：2019/9/17 13:13:57 位置： 类型：info  信息：系统开启！
